GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JOIE001,NAME_M,JOIM001
"G0201880","2006-2010",,,"Alaska","02","Northwest Arctic Borough","188",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Northwest Arctic Borough, Alaska",55217,"Northwest Arctic Borough, Alaska",3990
"G0201950","2006-2010",,,"Alaska","02","Petersburg Census Area","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Petersburg Census Area, Alaska",62317,"Petersburg Census Area, Alaska",8919
"G0201980","2006-2010",,,"Alaska","02","Prince of Wales-Hyder Census Area","198",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Prince of Wales-Hyder Census Area, Alaska",45728,"Prince of Wales-Hyder Census Area, Alaska",2840
"G0202200","2006-2010",,,"Alaska","02","Sitka City and Borough","220",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sitka City and Borough, Alaska",62024,"Sitka City and Borough, Alaska",3816
"G0202300","2006-2010",,,"Alaska","02","Skagway Municipality","230",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skagway Municipality, Alaska",73500,"Skagway Municipality, Alaska",10180
"G0202400","2006-2010",,,"Alaska","02","Southeast Fairbanks Census Area","240",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Southeast Fairbanks Census Area, Alaska",59596,"Southeast Fairbanks Census Area, Alaska",7072
"G0202610","2006-2010",,,"Alaska","02","Valdez-Cordova Census Area","261",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Valdez-Cordova Census Area, Alaska",60383,"Valdez-Cordova Census Area, Alaska",7783
"G0202700","2006-2010",,,"Alaska","02","Wade Hampton Census Area","270",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wade Hampton Census Area, Alaska",37955,"Wade Hampton Census Area, Alaska",2035
"G0202750","2006-2010",,,"Alaska","02","Wrangell City and Borough","275",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wrangell City and Borough, Alaska",50389,"Wrangell City and Borough, Alaska",5242
"G0202820","2006-2010",,,"Alaska","02","Yakutat City and Borough","282",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yakutat City and Borough, Alaska",65750,"Yakutat City and Borough, Alaska",26367
"G0202900","2006-2010",,,"Alaska","02","Yukon-Koyukuk Census Area","290",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yukon-Koyukuk Census Area, Alaska",33712,"Yukon-Koyukuk Census Area, Alaska",2917
"G0400010","2006-2010",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apache County, Arizona",30184,"Apache County, Arizona",1368
"G0400030","2006-2010",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cochise County, Arizona",44876,"Cochise County, Arizona",1551
"G0400050","2006-2010",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coconino County, Arizona",49510,"Coconino County, Arizona",1484
"G0400070","2006-2010",,,"Arizona","04","Gila County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gila County, Arizona",37580,"Gila County, Arizona",2160
"G0400090","2006-2010",,,"Arizona","04","Graham County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Graham County, Arizona",41683,"Graham County, Arizona",3124
"G0400110","2006-2010",,,"Arizona","04","Greenlee County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greenlee County, Arizona",48696,"Greenlee County, Arizona",2912
"G0400120","2006-2010",,,"Arizona","04","La Paz County","012",,,,,,,,,,,,,,,,,,,,,,,,,,,,"La Paz County, Arizona",32147,"La Paz County, Arizona",2694
"G0400130","2006-2010",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maricopa County, Arizona",55054,"Maricopa County, Arizona",334
"G0400150","2006-2010",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mohave County, Arizona",39785,"Mohave County, Arizona",915
"G0400170","2006-2010",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Navajo County, Arizona",39774,"Navajo County, Arizona",1908
"G0400190","2006-2010",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pima County, Arizona",45521,"Pima County, Arizona",546
"G0400210","2006-2010",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pinal County, Arizona",51310,"Pinal County, Arizona",1076
"G0400230","2006-2010",,,"Arizona","04","Santa Cruz County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santa Cruz County, Arizona",36519,"Santa Cruz County, Arizona",2832
"G0400250","2006-2010",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yavapai County, Arizona",43290,"Yavapai County, Arizona",882
"G0400270","2006-2010",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yuma County, Arizona",40340,"Yuma County, Arizona",1162
"G0500010","2006-2010",,,"Arkansas","05","Arkansas County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arkansas County, Arkansas",37230,"Arkansas County, Arkansas",2571
"G0500030","2006-2010",,,"Arkansas","05","Ashley County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ashley County, Arkansas",34934,"Ashley County, Arkansas",2270
"G0500050","2006-2010",,,"Arkansas","05","Baxter County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baxter County, Arkansas",35606,"Baxter County, Arkansas",1764
"G0500070","2006-2010",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Benton County, Arkansas",50434,"Benton County, Arkansas",988
"G0500090","2006-2010",,,"Arkansas","05","Boone County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boone County, Arkansas",36977,"Boone County, Arkansas",2294
"G0500110","2006-2010",,,"Arkansas","05","Bradley County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bradley County, Arkansas",29908,"Bradley County, Arkansas",3679
