STATE,COUNTY,STNAME,CTYNAME,Year,Population,State_Code
12,17,Florida,Citrus County,2000,118085,FL
12,19,Florida,Clay County,2000,140814,FL
12,21,Florida,Collier County,2000,251377,FL
12,23,Florida,Columbia County,2000,56513,FL
12,27,Florida,DeSoto County,2000,32209,FL
12,29,Florida,Dixie County,2000,13827,FL
12,31,Florida,Duval County,2000,778879,FL
12,33,Florida,Escambia County,2000,294410,FL
12,35,Florida,Flagler County,2000,49832,FL
12,37,Florida,Franklin County,2000,11057,FL
12,39,Florida,Gadsden County,2000,45087,FL
12,41,Florida,Gilchrist County,2000,14437,FL
12,43,Florida,Glades County,2000,10576,FL
12,45,Florida,Gulf County,2000,13332,FL
12,47,Florida,Hamilton County,2000,13327,FL
12,49,Florida,Hardee County,2000,26938,FL
12,51,Florida,Hendry County,2000,36210,FL
12,53,Florida,Hernando County,2000,130802,FL
12,55,Florida,Highlands County,2000,87366,FL
12,57,Florida,Hillsborough County,2000,998948,FL
12,59,Florida,Holmes County,2000,18564,FL
12,61,Florida,Indian River County,2000,112947,FL
12,63,Florida,Jackson County,2000,46755,FL
12,65,Florida,Jefferson County,2000,12902,FL
12,67,Florida,Lafayette County,2000,7022,FL
12,69,Florida,Lake County,2000,210528,FL
12,71,Florida,Lee County,2000,440888,FL
12,73,Florida,Leon County,2000,239452,FL
12,75,Florida,Levy County,2000,34450,FL
12,77,Florida,Liberty County,2000,7021,FL
12,79,Florida,Madison County,2000,18733,FL
12,81,Florida,Manatee County,2000,264002,FL
12,83,Florida,Marion County,2000,258916,FL
12,85,Florida,Martin County,2000,126731,FL
12,86,Florida,Miami-Dade County,2000,2253362,FL
12,87,Florida,Monroe County,2000,79589,FL
12,89,Florida,Nassau County,2000,57663,FL
12,91,Florida,Okaloosa County,2000,170498,FL
12,93,Florida,Okeechobee County,2000,35910,FL
12,95,Florida,Orange County,2000,896344,FL
12,97,Florida,Osceola County,2000,172493,FL
12,99,Florida,Palm Beach County,2000,1131184,FL
12,101,Florida,Pasco County,2000,344765,FL
12,103,Florida,Pinellas County,2000,921482,FL
12,105,Florida,Polk County,2000,483924,FL
12,107,Florida,Putnam County,2000,70423,FL
12,109,Florida,St. Johns County,2000,123135,FL
12,111,Florida,St. Lucie County,2000,192695,FL
12,113,Florida,Santa Rosa County,2000,117743,FL
12,115,Florida,Sarasota County,2000,325957,FL
12,117,Florida,Seminole County,2000,365196,FL
12,119,Florida,Sumter County,2000,53345,FL
12,121,Florida,Suwannee County,2000,34844,FL
12,123,Florida,Taylor County,2000,19256,FL
12,125,Florida,Union County,2000,13442,FL
12,127,Florida,Volusia County,2000,443343,FL
12,129,Florida,Wakulla County,2000,22863,FL
12,131,Florida,Walton County,2000,40601,FL
12,133,Florida,Washington County,2000,20973,FL
13,1,Georgia,Appling County,2000,17419,GA
13,3,Georgia,Atkinson County,2000,7609,GA
13,5,Georgia,Bacon County,2000,10103,GA
13,7,Georgia,Baker County,2000,4074,GA
13,9,Georgia,Baldwin County,2000,44700,GA
13,11,Georgia,Banks County,2000,14422,GA
13,13,Georgia,Barrow County,2000,46144,GA
13,15,Georgia,Bartow County,2000,76019,GA
13,17,Georgia,Ben Hill County,2000,17484,GA
13,19,Georgia,Berrien County,2000,16235,GA
