Year,State_Code,County_Name,Deaths,Population,Median_Income_2010,_merge,bad_merge,indicator,Death_per_cap,Imputed_death_per_cap
2010,TX,Collin County,53.0,782341.0,80504.0,both,0,TX-Collin County,6.774539491091481e-05,6.774539491091481e-05
2010,TX,Dallas County,213.0,2368139.0,47974.0,both,0,TX-Dallas County,8.994404466967522e-05,8.994404466967522e-05
2010,TX,Denton County,43.0,662614.0,70622.0,both,0,TX-Denton County,6.489449362675706e-05,6.489449362675706e-05
2010,TX,El Paso County,46.0,800647.0,36333.0,both,0,TX-El Paso County,5.745353445401032e-05,5.745353445401032e-05
2010,TX,Fort Bend County,32.0,585375.0,79845.0,both,0,TX-Fort Bend County,5.466581251334615e-05,5.466581251334615e-05
2010,TX,Harris County,445.0,4092459.0,51444.0,both,0,TX-Harris County,0.00010873658111174725,0.00010873658111174725
2010,TX,Hidalgo County,14.0,774769.0,31879.0,both,0,TX-Hidalgo County,1.8069902125665842e-05,1.8069902125665842e-05
2010,TX,Montgomery County,30.0,455746.0,65620.0,both,0,TX-Montgomery County,6.582613999903454e-05,6.582613999903454e-05
2010,TX,Tarrant County,134.0,1809034.0,55306.0,both,0,TX-Tarrant County,7.40726818843648e-05,7.40726818843648e-05
2010,TX,Travis County,118.0,1024266.0,54074.0,both,0,TX-Travis County,0.00011520444884434317,0.00011520444884434317
2010,TX,Williamson County,27.0,422679.0,68780.0,both,0,TX-Williamson County,6.387826222736402e-05,6.387826222736402e-05
2010,UT,Salt Lake County,180.0,1029655.0,58004.0,both,0,UT-Salt Lake County,0.00017481583637237716,0.00017481583637237716
2010,UT,Utah County,68.0,516564.0,56927.0,both,0,UT-Utah County,0.00013163906118118955,0.00013163906118118955
2010,VA,Fairfax County,34.0,1081726.0,105416.0,both,0,VA-Fairfax County,3.143124968799863e-05,3.143124968799863e-05
2010,VA,Virginia Beach city,14.0,437994.0,,both,0,VA-Virginia Beach city,3.196390818139061e-05,3.196390818139061e-05
2010,WA,Clark County,50.0,425363.0,58262.0,both,0,WA-Clark County,0.00011754666014674525,0.00011754666014674525
2010,WA,King County,238.0,1931249.0,68065.0,both,0,WA-King County,0.000123236309766374,0.000123236309766374
2010,WA,Pierce County,113.0,795225.0,57869.0,both,0,WA-Pierce County,0.00014209814832280172,0.00014209814832280172
2010,WA,Snohomish County,108.0,713335.0,66300.0,both,0,WA-Snohomish County,0.00015140151541702005,0.00015140151541702005
